edad,sexo,prob_base,casos_actualizados
18,H,0.144,0.144
18,M,0.203,0.203
19,H,0.144,0.144
19,M,0.203,0.203
20,H,0.144,0.144
20,M,0.203,0.203
21,H,0.144,0.144
21,M,0.203,0.203
22,H,0.144,0.144
22,M,0.203,0.203
23,H,0.144,0.144
23,M,0.203,0.203
24,H,0.144,0.144
24,M,0.203,0.203
25,H,0.144,0.144
25,M,0.203,0.203
26,H,0.144,0.144
26,M,0.203,0.203
27,H,0.144,0.144
27,M,0.203,0.203
28,H,0.144,0.144
28,M,0.203,0.203
29,H,0.144,0.144
29,M,0.203,0.203
30,H,0.144,0.144
30,M,0.203,0.203
31,H,0.144,0.144
31,M,0.203,0.203
32,H,0.144,0.144
32,M,0.203,0.203
33,H,0.144,0.144
33,M,0.203,0.203
34,H,0.144,0.144
34,M,0.203,0.203
35,H,0.144,0.144
35,M,0.203,0.203
36,H,0.144,0.144
36,M,0.203,0.203
37,H,0.144,0.144
37,M,0.203,0.203
38,H,0.144,0.144
38,M,0.203,0.203
39,H,0.144,0.144
39,M,0.203,0.203
40,H,0.144,0.144
40,M,0.203,0.203
41,H,0.144,0.144
41,M,0.203,0.203
42,H,0.144,0.144
42,M,0.203,0.203
43,H,0.144,0.144
43,M,0.203,0.203
44,H,0.144,0.144
44,M,0.203,0.203
45,H,0.144,0.144
45,M,0.203,0.203
46,H,0.144,0.144
46,M,0.203,0.203
47,H,0.144,0.144
47,M,0.203,0.203
48,H,0.144,0.144
48,M,0.203,0.203
49,H,0.144,0.144
49,M,0.203,0.203
50,H,0.144,0.144
50,M,0.203,0.203
51,H,0.144,0.144
51,M,0.203,0.203
52,H,0.144,0.144
52,M,0.203,0.203
53,H,0.144,0.144
53,M,0.203,0.203
54,H,0.144,0.144
54,M,0.203,0.203
55,H,0.15,0.15
55,M,0.25,0.25
56,H,0.15,0.15
56,M,0.25,0.25
57,H,0.15,0.15
57,M,0.25,0.25
58,H,0.15,0.15
58,M,0.25,0.25
59,H,0.15,0.15
59,M,0.25,0.25
60,H,0.15,0.15
60,M,0.25,0.25
61,H,0.15,0.15
61,M,0.25,0.25
62,H,0.15,0.15
62,M,0.25,0.25
63,H,0.15,0.15
63,M,0.25,0.25
64,H,0.15,0.15
64,M,0.25,0.25
65,H,0.15,0.15
65,M,0.25,0.25
66,H,0.15,0.15
66,M,0.25,0.25
67,H,0.15,0.15
67,M,0.25,0.25
68,H,0.15,0.15
68,M,0.25,0.25
69,H,0.15,0.15
69,M,0.25,0.25
70,H,0.15,0.15
70,M,0.25,0.25
71,H,0.15,0.15
71,M,0.25,0.25
72,H,0.15,0.15
72,M,0.25,0.25
73,H,0.15,0.15
73,M,0.25,0.25
74,H,0.15,0.15
74,M,0.25,0.25
75,H,0.15,0.15
75,M,0.25,0.25
76,H,0.15,0.15
76,M,0.25,0.25
77,H,0.15,0.15
77,M,0.25,0.25
78,H,0.15,0.15
78,M,0.25,0.25
79,H,0.15,0.15
79,M,0.25,0.25
80,H,0.15,0.15
80,M,0.25,0.25
